,gen,nevals,avg,min,max
238,238,369,0.7076800000000002,0.5,0.716
239,239,365,0.7116800000000001,0.5,0.716
240,240,364,0.7118400000000001,0.546,0.716
241,241,371,0.7063600000000001,0.5,0.716
242,242,364,0.7011600000000001,0.5,0.716
243,243,354,0.7104,0.568,0.716
244,244,357,0.7140400000000001,0.64,0.716
245,245,361,0.7132400000000001,0.622,0.716
246,246,363,0.7100000000000002,0.57,0.716
247,247,371,0.7039200000000001,0.5,0.716
248,248,349,0.71536,0.684,0.716
249,249,358,0.7145200000000002,0.674,0.716
250,250,355,0.7053200000000001,0.5,0.716
251,251,359,0.7061200000000001,0.54,0.716
252,252,365,0.7126,0.604,0.716
253,253,357,0.7053600000000002,0.522,0.716
254,254,357,0.7062,0.54,0.716
255,255,360,0.70504,0.5,0.716
256,256,359,0.70652,0.5,0.716
257,257,351,0.7115200000000002,0.5,0.716
258,258,363,0.7119600000000001,0.558,0.716
259,259,351,0.70828,0.5,0.716
260,260,360,0.7056,0.5,0.716
261,261,361,0.7000000000000002,0.502,0.716
262,262,367,0.6863600000000001,0.5,0.716
263,263,371,0.69512,0.508,0.716
264,264,365,0.6916800000000001,0.5,0.716
265,265,371,0.7110000000000001,0.61,0.716
266,266,367,0.7099600000000001,0.54,0.716
267,267,356,0.7155600000000001,0.704,0.716
268,268,356,0.7158800000000001,0.71,0.716
269,269,362,0.7049200000000002,0.5,0.716
270,270,354,0.7096399999999999,0.5,0.716
271,271,361,0.70352,0.512,0.716
272,272,357,0.7118800000000002,0.582,0.716
273,273,355,0.7138,0.606,0.716
274,274,356,0.7095200000000002,0.528,0.716
275,275,362,0.7028,0.516,0.716
276,276,362,0.70352,0.552,0.716
277,277,355,0.69952,0.5,0.716
278,278,370,0.7061200000000001,0.512,0.716
279,279,373,0.7038800000000001,0.526,0.716
280,280,365,0.70036,0.542,0.716
281,281,356,0.7079200000000001,0.592,0.716
282,282,358,0.71184,0.634,0.716
283,283,352,0.70916,0.524,0.716
284,284,360,0.7076399999999999,0.5,0.716
285,285,363,0.7116800000000001,0.5,0.716
286,286,369,0.7015600000000001,0.5,0.716
287,287,365,0.70816,0.5,0.716
288,288,355,0.7105600000000001,0.54,0.716
289,289,361,0.7078000000000002,0.5,0.716
290,290,356,0.71148,0.594,0.716
291,291,359,0.70584,0.568,0.716
292,292,366,0.70588,0.522,0.716
293,293,356,0.7083600000000001,0.544,0.716
294,294,362,0.70524,0.458,0.716
295,295,361,0.7131200000000001,0.588,0.716
296,296,365,0.7147200000000001,0.652,0.716
297,297,365,0.7071200000000001,0.5,0.716
298,298,369,0.7110000000000001,0.5,0.716
299,299,363,0.70672,0.522,0.716
300,300,374,0.7097200000000001,0.554,0.716
301,301,363,0.6946400000000001,0.5,0.716
302,302,357,0.70076,0.53,0.716
303,303,359,0.6962800000000001,0.5,0.716
304,304,360,0.7089600000000001,0.532,0.716
305,305,370,0.6985600000000001,0.488,0.716
306,306,363,0.7096800000000002,0.52,0.716
307,307,365,0.7128,0.604,0.716
308,308,358,0.70916,0.536,0.716
309,309,369,0.6999200000000002,0.5,0.716
310,310,359,0.70304,0.5,0.716
311,311,363,0.7031200000000001,0.5,0.716
312,312,348,0.6960000000000001,0.5,0.716
313,313,367,0.6969200000000001,0.5,0.716
314,314,360,0.7160000000000001,0.716,0.716
315,315,353,0.7070400000000001,0.47,0.716
316,316,357,0.7112800000000001,0.5,0.716
317,317,356,0.7075200000000001,0.562,0.716
318,318,371,0.7049600000000001,0.566,0.716
319,319,364,0.6988800000000001,0.5,0.716
320,320,359,0.7070799999999999,0.5,0.716
321,321,354,0.71108,0.59,0.716
322,322,355,0.7026400000000002,0.5,0.716
323,323,365,0.71404,0.618,0.716
324,324,360,0.7134800000000001,0.602,0.716
325,325,366,0.71508,0.67,0.716
